tp,op,hhtested,version
0.4,0.004,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.005,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.002,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0.005,0.3,clnrs
0.4,0.005,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0.005,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0.005,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.005,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.002,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.005,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.002,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0.002,0.3,clnrs
0.4,0.002,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.004,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.001,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0.003,0.3,clnrs
0.4,0.001,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.006,0.4,clnrs
0.4,0.004,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.004,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.004,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.004,0.4,clnrs
0.4,0.006,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.005,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.005,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.006,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.004,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.004,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.004,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.004,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.003,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0,0.4,clnrs
0.4,0.005,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.002,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.001,0.4,clnrs
0.4,0.004,0.4,clnrs
0.4,0.001,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.005,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.005,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.006,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.004,0.5,clnrs
0.4,0,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.004,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.004,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.005,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.004,0.5,clnrs
0.4,0,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.005,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.004,0.5,clnrs
0.4,0,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.004,0.5,clnrs
0.4,0,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.001,0.5,clnrs
0.4,0.003,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.002,0.5,clnrs
0.4,0.005,0.5,clnrs
